case_name,case_label,polarization,mean_A_8_13um,peak_A_8_13um,peak_wavelength_um,min_A,max_A,max_abs_T,has_raw_flux,all_finite,delta_mean_A_Hz_minus_Ez,delta_peak_A_Hz_minus_Ez,hz_mean_enhancement_flag,pass_or_fail
flat_ti,Flat Ti,Ez,0.07178115258311912,0.07178115258311912,10.0,0.058620452638172366,0.158042178691783,6.002506504600435e-16,True,True,-2.0276257220452898e-07,-2.0276257220452898e-07,False,PASS
flat_ti,Flat Ti,Hz,0.07178094982054692,0.07178094982054692,10.0,0.05859945199728872,0.158035600896018,5.029788518685028e-16,True,True,-2.0276257220452898e-07,-2.0276257220452898e-07,False,PASS
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Ez,0.11401081474945753,0.11401081474945753,10.0,0.11361722302690605,0.19500136991737474,6.500740748596631e-05,True,True,0.0152336077875216,0.0152336077875216,False,PASS
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Hz,0.12924442253697913,0.12924442253697913,10.0,0.1131760166326709,0.2881057511128045,0.021084372966708512,True,True,0.0152336077875216,0.0152336077875216,False,PASS
slanted_groove_tilt20,"Slanted groove, tilt=20",Ez,0.11185327880172813,0.11185327880172813,10.0,0.11185327880172813,0.20556455815292266,6.499226782037714e-05,True,True,0.014541328249907032,0.014541328249907032,False,PASS
slanted_groove_tilt20,"Slanted groove, tilt=20",Hz,0.12639460705163516,0.12639460705163516,10.0,0.12639460705163516,0.2693481528842269,0.017781129392993478,True,True,0.014541328249907032,0.014541328249907032,False,PASS
