case_name,case_label,polarization,wavelength_um,reflectance,transmittance,absorptance,emissivity_proxy,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,normalization_note,physics_note,period_um,top_width_um,bottom_width_um,depth_um,tilt_deg,walltime_s
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Ez,5.999999999999999,0.8066665784799896,-3.133293925422206e-09,0.19333342465330436,0.19333342465330436,-4.658991410062125,3.7582526599224764,1.4597989483741893e-08,3.133293925422206e-09,-3.133293925422206e-09,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,6.693287134170532
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Ez,7.5,0.8540292826702692,-5.707059225114801e-10,0.1459707179004367,0.1459707179004367,-35.15868364793658,30.0265453754782,2.0065268985584936e-08,5.707059225114801e-10,-5.707059225114801e-10,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,6.693287134170532
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Ez,10.0,0.8859893271698144,-1.4191927190818718e-07,0.11401081474945753,0.11401081474945753,-1.677124628973411,1.485914521604077,2.3801630624319505e-07,1.4191927190818718e-07,-1.4191927190818718e-07,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,6.693287134170532
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Ez,15.000000000000004,0.8864477843805799,-6.500740748596631e-05,0.11361722302690605,0.11361722302690605,-0.0004547705363639808,0.00040313033436141873,2.9563453570024762e-08,6.500740748596631e-05,-6.500740748596631e-05,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,6.693287134170532
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Hz,5.0,0.7122777445862074,-0.00038349569901191104,0.2881057511128045,0.2881057511128045,-0.004091514195027869,0.0029142945027769026,1.569078096239369e-06,0.00038349569901191104,-0.00038349569901191104,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,14.303621053695679
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Hz,5.999999999999999,0.8419658349641753,-4.1293015264787306e-07,0.15803457796597734,0.15803457796597734,-4.657745008191625,3.9216621648722816,1.9233233572274366e-06,4.1293015264787306e-07,-4.1293015264787306e-07,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,14.303621053695679
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Hz,7.5,0.8868241532249493,-1.698576202464855e-07,0.1131760166326709,0.1131760166326709,-35.15266253610869,31.174230187186993,5.9709476037112085e-06,1.698576202464855e-07,-1.698576202464855e-07,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,14.303621053695679
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Hz,10.0,0.8708811726394184,-0.0001255951763975667,0.12924442253697913,0.12924442253697913,-1.6769629134212485,1.4604354285131125,0.0002106184529233191,0.0001255951763975667,-0.0001255951763975667,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,14.303621053695679
symmetric_groove_tilt0,"Symmetric groove, tilt=0",Hz,15.000000000000004,0.7839543383445436,-0.021084372966708512,0.23713003462216486,0.23713003462216486,-0.00045474465340296073,0.0003564990438742369,9.588005876964617e-06,0.021084372966708512,-0.021084372966708512,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,0.0,14.303621053695679
slanted_groove_tilt20,"Slanted groove, tilt=20",Ez,5.0,0.7944367188314287,-1.2769843514055798e-06,0.20556455815292266,0.20556455815292266,-0.004093106894730584,0.0032517144112760633,5.226833453201241e-09,1.2769843514055798e-06,-1.2769843514055798e-06,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,6.6634016036987305
slanted_groove_tilt20,"Slanted groove, tilt=20",Ez,5.999999999999999,0.7946169862699429,-2.719426488957661e-09,0.20538301644948356,0.20538301644948356,-4.658991410062125,3.7021137133211175,1.2669784652349147e-08,2.719426488957661e-09,-2.719426488957661e-09,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,6.6634016036987305
slanted_groove_tilt20,"Slanted groove, tilt=20",Ez,7.5,0.8546807700701512,-4.326844389822111e-10,0.14531923036253325,0.14531923036253325,-35.15868364793658,30.049450814871268,1.5212615309560478e-08,4.326844389822111e-10,-4.326844389822111e-10,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,6.6634016036987305
slanted_groove_tilt20,"Slanted groove, tilt=20",Ez,10.0,0.8881468529110714,-1.3171279955499308e-07,0.11185327880172813,0.11185327880172813,-1.677124628973411,1.4895329611623833,2.20898780084717e-07,1.3171279955499308e-07,-1.3171279955499308e-07,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,6.6634016036987305
slanted_groove_tilt20,"Slanted groove, tilt=20",Ez,15.000000000000004,0.8868773813153711,-6.499226782037714e-05,0.1131876109524493,0.1131876109524493,-0.0004547705363639808,0.000403325702389874,2.9556568496184402e-08,6.499226782037714e-05,-6.499226782037714e-05,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,6.6634016036987305
slanted_groove_tilt20,"Slanted groove, tilt=20",Hz,5.0,0.7309363718903766,-0.00028452477460353705,0.2693481528842269,0.2693481528842269,-0.004091514195027869,0.0029906365412516456,1.1641371541274767e-06,0.00028452477460353705,-0.00028452477460353705,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,17.146658897399902
slanted_groove_tilt20,"Slanted groove, tilt=20",Hz,5.999999999999999,0.8171453431505435,-3.17165430726328e-07,0.18285497401488718,0.18285497401488718,-4.657745008191625,3.806054643026477,1.4772757017365012e-06,3.17165430726328e-07,-3.17165430726328e-07,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,17.146658897399902
slanted_groove_tilt20,"Slanted groove, tilt=20",Hz,7.5,0.7399513338830458,-1.37413228046249e-07,0.2600488035301822,0.2600488035301822,-35.15266253610869,26.011259533134197,4.830440833507138e-06,1.37413228046249e-07,-1.37413228046249e-07,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,17.146658897399902
slanted_groove_tilt20,"Slanted groove, tilt=20",Hz,10.0,0.8737071012189273,-0.00010170827056240737,0.12639460705163516,0.12639460705163516,-1.6769629134212485,1.4651744059369258,0.00017056099772137125,0.00010170827056240737,-0.00010170827056240737,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,17.146658897399902
slanted_groove_tilt20,"Slanted groove, tilt=20",Hz,15.000000000000004,0.8191603554575128,-0.017781129392993478,0.19862077393548072,0.19862077393548072,-0.00045474465340296073,0.00037250879192397276,8.085873522930016e-06,0.017781129392993478,-0.017781129392993478,R = reflection_flux_raw / abs(input_flux_raw); T = -transmission_flux_raw / abs(input_flux_raw); A = 1 - R - T,2D normal-incidence polarization diagnostic; non-polarized real emission needs TE/TM averaging and 3D validation,10.0,4.0,4.0,3.0,20.0,17.146658897399902
