case_name,reference_case,max_negative_T,min_A,max_A,mean_A_8_13um,mean_A_pre_fix_8_13um,mean_A_delta_after_flux_fix,max_abs_delta_R_vs_reference,max_abs_delta_A_vs_reference,reference_tol,has_raw_flux,all_finite,base_checks_pass,reference_check_pass,pass_or_fail
flat_ti,fresnel_flat_ti,3.653157962880685e-16,0.061820861831764065,0.08650867176077184,0.07322247099186749,0.07322247099186718,3.0531133177191805e-16,0.0016550373438699584,0.0016550373438695976,0.05,True,True,True,True,PASS
rectangular_groove,flat_ti,0.0008694854098923819,0.041948641909541166,0.16288721376592638,0.10631237869849083,0.10657441774083405,-0.00026203904234321784,0.07550905659526252,0.07637854200515454,,True,True,True,True,PASS
slanted_tilt0,rectangular_groove,0.0008694854098923819,0.041948641909541166,0.16288721376592638,0.10631237869849083,0.10657441774083405,-0.00026203904234321784,0.0,0.0,0.05,True,True,True,True,PASS
slanted_tilt20,slanted_tilt0,0.0007612470939782951,0.0459628374339969,0.15801963536058838,0.10531441624909874,0.10554581649045999,-0.00023140024136125703,0.0047593400894239135,0.004867578405337997,,True,True,True,True,PASS
