case_name,case_label,polarization,wavelength_um,incident_angle_deg,propagating_orders,selected_direction_index,input_flux_raw,reflection_flux_raw,transmission_flux_raw,R_flux_monitor,T,absorptance,specular_reflection,positive_diffraction_orders,negative_diffraction_orders,nonspecular_reflection,total_reflected_power_from_orders,order_sum_residual,channel_sum,walltime_s,pass_or_fail,validation_note,pm_order_symmetry_delta
symmetric_groove,"Symmetric groove, tilt=0",Ez,8.0,0.0,-1 0 1,0,-11111.790897852949,9608.746355164512,1.39617039735931e-06,0.8647342668247241,-1.256476485378322e-10,0.13526573330092356,0.38649206091519206,0.2391210978501901,0.23912109785019073,0.47824219570038085,0.8647342566155729,-1.0209151191098442e-08,0.9999999897908488,85.87760186195374,PASS,order sum matches flux,6.38378239159465e-16
slanted_groove,"Slanted groove, tilt=20",Ez,8.0,0.0,-1 0 1,0,-11111.790897852949,9622.651677515723,1.196788243556212e-06,0.8659856692745216,-1.0770435248088215e-10,0.13401433083318276,0.43814795468811757,0.21703273758487715,0.21080496786360925,0.4278377054484864,0.8659856601366039,-9.137917644785887e-09,0.9999999908620824,97.54815721511841,PASS,order sum matches flux,
