metric_scope,case_name,case_label,polarization,wavelength_um,theta_of_max_absorptance,max_absorptance,theta0_deg,absorptance_plus_theta0,absorptance_minus_theta0,asymmetry_at_theta0,ratio_at_theta0,theta0_absorptance,theta0_delta_vs_D02,mean_A_theta,mean_directionality_ratio,validation_note
per_wavelength,flat_Ti,Flat Ti,Ez,10.0,0.0,0.07177910844308559,30.0,0.06245495333285248,0.06245495333285104,1.4432899320127035e-15,1.000000000000023,0.07177910844308559,-2.0441400335052817e-06,,,per wavelength
per_wavelength,slanted_groove,"Slanted groove, tilt=20",Ez,10.0,0.0,0.11122357172269492,30.0,0.0878967973940392,0.08547483194542095,0.002421965448618252,1.0283354221762586,0.11122357172269492,-0.000629707079033176,,,per wavelength
band_average,flat_Ti,Flat Ti,Ez,,0.0,0.07177910844308559,30.0,0.06245495333285248,0.06245495333285104,1.4432899320127035e-15,1.000000000000023,0.07177910844308559,,0.06556300503626304,1.000000000000023,band average over simulated wavelengths
band_average,slanted_groove,"Slanted groove, tilt=20",Ez,,0.0,0.11122357172269492,30.0,0.0878967973940392,0.08547483194542095,0.002421965448618252,1.0283354221762586,0.11122357172269492,,0.09486506702071835,1.0283354221762586,band average over simulated wavelengths
