case_name,wavelength_um,R,T,A,emissivity_proxy,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,pre_fix_A_from_raw_T,reference_kind,normalization_note,physical_note,period_um,width_um,depth_um,tilt_deg,walltime_s
flat_ti,8.0,0.9134913282392285,-3.653157962880685e-16,0.08650867176077184,0.08650867176077184,-0.02144164903539864,0.019586760456985677,7.83297309109595e-18,3.653157962880685e-16,-3.653157962880685e-16,0.08650867176077112,fresnel_flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,flat Ti baseline; compare R/A against semi-infinite Fresnel,10.0,4.0,0.0,,14.117629289627075
flat_ti,8.851063829787234,0.9211361787368209,-2.807731089682419e-16,0.07886382126317942,0.07886382126317942,-28.717596733992007,26.452817318054404,8.063128917099165e-15,2.807731089682419e-16,-2.807731089682419e-16,0.07886382126317887,fresnel_flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,flat Ti baseline; compare R/A against semi-infinite Fresnel,10.0,4.0,0.0,,14.117629289627075
flat_ti,9.904761904761905,0.9277370983165768,-1.2845576416259353e-16,0.07226290168342332,0.07226290168342332,-270.41081454422283,250.87014443867926,3.47358278201075e-14,1.2845576416259353e-16,-1.2845576416259353e-16,0.07226290168342307,fresnel_flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,flat Ti baseline; compare R/A against semi-infinite Fresnel,10.0,4.0,0.0,,14.117629289627075
flat_ti,11.243243243243242,0.9333439015798012,-1.6893651124466537e-17,0.06665609842019883,0.06665609842019883,-17.797008986098596,16.610729803536046,3.006564608701456e-16,1.6893651124466537e-17,-1.6893651124466537e-17,0.0666560984201988,fresnel_flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,flat Ti baseline; compare R/A against semi-infinite Fresnel,10.0,4.0,0.0,,14.117629289627075
flat_ti,13.0,0.938179138168236,-1.1597160868903136e-17,0.061820861831764065,0.061820861831764065,-0.008119849035690874,0.007617872970360646,9.416719549811506e-20,1.1597160868903136e-17,-1.1597160868903136e-17,0.06182086183176404,fresnel_flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,flat Ti baseline; compare R/A against semi-infinite Fresnel,10.0,4.0,0.0,,14.117629289627075
rectangular_groove,8.0,0.837982271643966,-0.0008694854098923819,0.16288721376592638,0.16288721376592638,-0.02144164903539864,0.017967721766476003,1.864320100031218e-05,0.0008694854098923819,-0.0008694854098923819,0.16114824294614163,flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,symmetric rectangular groove,10.0,4.0,3.0,,27.13495707511902
rectangular_groove,8.851063829787234,0.8801013336219777,-1.1394373584878887e-06,0.11989980581538076,0.11989980581538076,-28.717596733992007,25.27439518400452,3.272190256470027e-05,1.1394373584878887e-06,-1.1394373584878887e-06,0.11989752694066377,flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,symmetric rectangular groove,10.0,4.0,3.0,,27.13495707511902
rectangular_groove,9.904761904761905,0.8873435298412783,-9.024255080131256e-06,0.11266549441380184,0.11266549441380184,-270.41081454422283,239.94728668492596,0.002440256166873134,9.024255080131256e-06,-9.024255080131256e-06,0.11264744590364158,flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,symmetric rectangular groove,10.0,4.0,3.0,,27.13495707511902
rectangular_groove,11.243243243243242,0.9058402203414943,-9.579292982867458e-07,0.09416073758780404,0.09416073758780404,-17.797008986098596,16.121246541387105,1.7048276329656338e-05,9.579292982867458e-07,-9.579292982867458e-07,0.09415882172920746,flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,symmetric rectangular groove,10.0,4.0,3.0,,27.13495707511902
rectangular_groove,13.0,0.9565156534529715,0.0015357046374873192,0.041948641909541166,0.041948641909541166,-0.008119849035690874,0.007766762706313337,-1.2469689819807411e-05,-0.0015357046374873192,0.0015357046374873192,0.045020051184515804,flat_ti,R = reflection_flux_raw / abs(input_flux_raw); corrected T = -transmission_flux_raw / abs(input_flux_raw); raw_transmittance is retained for D00/D01 provenance,symmetric rectangular groove,10.0,4.0,3.0,,27.13495707511902
