wavelength_um,n,k
16.305,1.66914455,0.3693293959999999
16.408,1.67027794,0.3706804499999999
16.512,1.67190131,0.3726524319999999
16.618,1.6742171,0.3751067149999999
16.726,1.67739059,0.377833014
16.834,1.68152617,0.3805601379999999
16.944,1.6866392,0.3829731129999999
17.056,1.69262983,0.384744185
17.169,1.6992838,0.3855807629999999
17.283,1.70628317,0.38527048
17.399,1.7132356,0.3837227489999999
17.517,1.71973799,0.380989589
17.636,1.72542769,0.377259938
17.757,1.73002659,0.372834924
17.879,1.73337912,0.3680767609999999
18.003,1.73545198,0.363363182
18.129,1.73632107,0.359049689
18.257,1.73614988,0.355434466
18.386,1.73515867,0.3527481319999999
18.518,1.7336008,0.351152825
18.651,1.73174038,0.350742221
18.786,1.72984113,0.3515530419999999
18.923,1.72815442,0.353572255
19.062,1.72691586,0.3567466839999999
19.203,1.72634326,0.360985235
19.347,1.72663287,0.3661685989999999
19.492,1.72795971,0.3721509239999999
19.64,1.73047343,0.378756427
19.79,1.73429759,0.385791139
19.942,1.73952676,0.393041446
20.097,1.74621691,0.4002711849999999
20.254,1.75438976,0.407237985
20.413,1.7640267,0.413693248
20.575,1.77505748,0.419385245
20.74,1.78737397,0.4240776399999999
20.907,1.80082598,0.4275529559999999
21.077,1.81521219,0.42962017
21.25,1.83030809,0.43012913
21.425,1.84586442,0.428973082
21.604,1.86160502,0.426096242
21.785,1.87726194,0.4214941649999999
21.97,1.89257535,0.4152116459999999
22.158,1.90729284,0.4073454169999999
22.349,1.92120539,0.398025464
22.543,1.93412487,0.3874222319999999
22.741,1.94591336,0.375721399
22.942,1.95647315,0.363119595
23.147,1.9657386,0.349826236
23.355,1.9736895,0.336035862
23.568,1.98033684,0.321930779
23.784,1.98571381,0.3076875689999999
24.004,1.98988022,0.293452298
24.229,1.99291033,0.2793498329999999
24.457,1.99488661,0.265494852
24.69,1.99590002,0.251970244
24.927,1.99604265,0.238840569
