wavelength_um,n_target,k_target,n_fit,k_fit,epsilon_target_real,epsilon_target_imag,epsilon_fit_real,epsilon_fit_imag,n_error,k_error,normalized_epsilon_error,origin
6.67,2.4841185,12.895769,2.5163356796473537,12.941393065734687,-160.13001337931874,64.069236689253,-161.14770922917953,65.12977823129809,0.0322171796473536,0.045624065734687136,0.002581160931436254,published_table_node
8.0,3.2048691,15.799043,3.131498488841218,15.742695415474236,-239.33857376771417,101.2677294405426,-238.02617615877867,98.59645380769028,-0.07337061115878196,-0.056347584525763494,0.005226524188026836,published_table_node
10.0,4.0715739,19.664351,4.081786343452207,19.690512200870444,-370.1089862280398,160.12971658407778,-371.05529097903485,160.74492759418408,0.01021244345220751,0.026161200870443935,0.001982090547854357,published_table_node
11.1,4.5921948,21.789718,4.616199963964408,21.776008497455855,-453.70355743837695,200.1252593861328,-452.88524397396463,201.04481928248873,0.024005163964408105,-0.01370950254414538,0.002161630942225961,published_table_node
12.5,5.29318,24.380236,5.312180069602929,24.369266325390917,-566.378152903296,258.09795518096,-565.6418841459451,258.9078617691749,0.019000069602928882,-0.010969674609082603,0.0019221106112090951,published_table_node
14.3,6.2397504,27.621553,6.240020699225757,27.624748757251844,-724.0157050775088,344.7031927607424,-724.1888855745214,344.758008112325,0.0002702992257566095,0.003195757251845066,0.0003189882329121956,published_table_node
