id,phase,geometry_id,gate_role,resolution,polarization,emission_theta_deg,status,result_path,material,oxide_layer_in_model,elapsed_s,mpi_ranks,peak_process_tree_rss_bytes,R,T,A_flux,A_vol,order_R,order_T,reference_pseudo_reflection,period_um,surface_fill,axis_length_um,tilt_deg,thickness_um,A_error_bound
K_flat32p,validation,baseline,flat,32,p,30,NUMERICAL_FAILED,/root/autodl-tmp/meep_sim/meep_screen/boundary_absorber_K/runs/boundary_20260924_K/tasks/K_flat32p/attempt_1/result.json,/root/autodl-tmp/meep_sim/meep_screen/boundary_absorber_K/assets/material/route_a_material.json,False,8954.130536317825,4,2658033664,,,,,,,,50.0,0.692820323,40.0,30,60.0,
K_slot32p,validation,baseline,baseline,32,p,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/boundary_absorber_K/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
