film_thickness_um,polarization,resolution,mean_A_8p1014_12p398_strict,mean_A_8p1014_12p962_extended,peak_A_strict,peak_wavelength_strict_um,valid_point_count_strict,total_planned_point_count_strict,valid_point_count_extended,numerical_status,max_abs_T,has_ti_extended_warning,high_emissivity_route_classification,fabrication_relevance_classification,enhancement_over_bare_absolute_strict,enhancement_over_bare_relative_strict,ez_hz_mean_A_abs_delta,ez_hz_planar_control_flag
0.0,Ez,32,0.07029529621543727,0.07029529621543727,0.07776412005568094,9.0,3,3,3,NUMERICAL_PASS,2.5883819072933475e-16,False,MATERIAL_ROUTE_FAIL_FOR_HIGH_EMISSIVITY,THIN_MODIFIED_LAYER_RANGE,0.0,0.0,,NOT_RUN
1.0,Ez,32,0.5024048426026488,0.5024048426026488,0.6917284237778103,9.0,3,3,3,NUMERICAL_PASS,9.654831125462466e-13,False,MATERIAL_HAS_LOSS_BUT_REQUIRES_RESONANT_ARCHITECTURE,POSSIBLE_THICK_MODIFIED_LAYER_RANGE_NEEDS_EXPERIMENT_CONFIRMATION,0.43210954638721155,6.147062031901897,,NOT_RUN
3.0,Ez,32,0.8184414404573038,0.8184414404573038,0.9164910847447323,12.0,3,3,3,NUMERICAL_PASS,1.0223147216312023e-13,False,HIGH_EMISSIVITY_BASE_LAYER_CANDIDATE,CAPABILITY_UPPER_BOUND_ONLY_NOT_YET_PROCESS_JUSTIFIED,0.7481461442418665,10.642904781978416,,NOT_RUN
