polarization,film_thickness_um,mean_A_8p1014_12p398_strict,peak_A_strict,peak_wavelength_strict_um,valid_point_count_strict,total_planned_point_count_strict,max_abs_T,numerical_status
Ez,2.0,0.7503838294662962,0.7847155717074059,9.0016,5,5,4.8514743518345425e-06,NUMERICAL_SCREENING
Hz,2.0,,0.7986241507702312,9.0016,4,5,0.0010868809433036862,INCOMPLETE_NUMERICAL_COVERAGE
unpolarized_2D_proxy,2.0,,0.7916698612388186,9.0016,4,5,0.0005458662088277603,INCOMPLETE_NUMERICAL_COVERAGE
