quantity,value
eps_real,-302.2512159555581
eps_imag,295.9891266243015
n_real,7.7714786664133975
n_imag,19.04329531930009
R_fresnel_normal,0.929283645772263
R_fresnel_s_30deg,0.938473932627139
R_fresnel_p_30deg,0.9187934473064175
R_measured_flat_r16,0.9240901814793898
abs_err_vs_Rp30,0.005296734172972273
abs_err_vs_Rn,0.005193464292873151
abs_err_vs_Rs30,0.014383751147749146
gate_tol,0.0025
gate_pass,False
post_source_drift,6.757208797763704e-08
