wavelength_um,R_res32,T_res32,A_res32,dR_vs_res50_res32,R_res50,T_res50,A_res50,dR_vs_res50_res50
5.0,0.8419572480352392,6.002055513926049e-16,0.1580427519647602,0.0015887610790659146,0.8403684869561733,1.490014496334072e-16,0.15963151304382658,0.0
5.016722408026756,0.8427197057726704,5.896335303454533e-16,0.157280294227329,0.0015897388066150597,0.8411299669660554,2.795603800013297e-16,0.15887003303394437,0.0
5.033557046979866,0.8434802087897091,5.784808332921583e-16,0.15651979121029033,0.0015922102625628431,0.8418879985271462,3.814833755415827e-16,0.15811200147285337,0.0
5.05050505050505,0.8442385754498183,5.667694057390596e-16,0.15576142455018116,0.001595673667946218,0.8426429017818721,4.556035835313549e-16,0.1573570982181275,0.0
5.0675675675675675,0.8449946145319459,5.545227861246341e-16,0.15500538546805354,0.0015996713814339092,0.843394943150512,5.046295756315456e-16,0.1566050568494875,0.0
5.084745762711865,0.8457481518608793,5.417663972992515e-16,0.15425184813912018,0.001603798319142813,0.8441443535417364,5.323785241978037e-16,0.15585564645826303,0.0
5.1020408163265305,0.8464990465906015,5.285277110285737e-16,0.15350095340939798,0.0016077064636307314,0.8448913401269708,5.431266105197231e-16,0.1551086598730287,0.0
5.1194539249146755,0.8472471998323945,5.148363024152143e-16,0.15275280016760498,0.0016111063205542786,0.8456360935118402,5.411072624084112e-16,0.15436390648815926,0.0
5.136986301369864,0.8479925577346977,5.007238119145578e-16,0.15200744226530177,0.0016137660383178654,0.8463787916963799,5.301624668301208e-16,0.1536212083036196,0.0
5.154639175257731,0.8487351106506422,4.8622383255648465e-16,0.15126488934935728,0.0016155087850575622,0.8471196018655847,5.135349793086247e-16,0.1528803981344148,0.0
5.172413793103448,0.8494748896589162,4.713717393298472e-16,0.15052511034108337,0.001616208876125791,0.8478586807827904,4.937788037197852e-16,0.15214131921720914,0.0
5.190311418685121,0.8502119614107905,4.562044764795454e-16,0.14978803858920908,0.0016157870596698043,0.8485961743511207,4.727605497459168e-16,0.15140382564887886,0.0
5.208333333333333,0.8509464220397652,4.407603169646944e-16,0.14905357796023433,0.0016142052874712487,0.849332216752294,4.517237859394628e-16,0.15066778324770558,0.0
5.2264808362369335,0.8516783906857152,4.2507860651822745e-16,0.14832160931428442,0.001611461241724954,0.8500669294439902,4.31390945722142e-16,0.14993307055600935,0.0
5.244755244755245,0.8524080030347573,4.0919950285326534e-16,0.1475919969652423,0.0016075828242760881,0.8508004202104812,4.120815258952599e-16,0.1491995797895184,0.0
5.2631578947368425,0.8531354051629372,3.931637186346416e-16,0.14686459483706243,0.0016026227754960543,0.8515327823874411,3.938302760331825e-16,0.1484672176125585,0.0
5.28169014084507,0.8538607478762005,3.7701227495490065e-16,0.14613925212379913,0.0015966535442790697,0.8522640943319214,3.7649408410336796e-16,0.1477359056680782,0.0
5.30035335689046,0.8545841816709203,3.607862702733078e-16,0.14541581832907932,0.001589762503208858,0.8529944191677115,3.598408189927467e-16,0.14700558083228818,0.0
5.319148936170213,0.8553058523804636,3.4452666818330585e-16,0.14469414761953603,0.0015820475667345235,0.8537238048137291,3.4361719632207173e-16,0.14627619518627055,0.0
5.338078291814946,0.8560258975335235,3.2827410594192103e-16,0.14397410246647613,0.0015736132549900583,0.8544522842785335,3.27595656722722e-16,0.1455477157214662,0.0
5.357142857142858,0.8567444434174765,3.1206872449564695e-16,0.14325555658252323,0.0015645672211684891,0.855179876196308,3.11602277788877e-16,0.14482012380369172,0.0
5.376344086021505,0.8574616028176,2.959500197381934e-16,0.14253839718239972,0.00155501724807372,0.8559065855695263,2.9552896056420203e-16,0.14409341443047344,0.0
5.395683453237409,0.858177473385945,2.7995671395007176e-16,0.14182252661405476,0.0015450687055187373,0.8566324046804262,2.7933366958751827e-16,0.1433675953195735,0.0
5.415162454873646,0.8588921365842005,2.641266458065236e-16,0.14110786341579923,0.0015348224514870612,0.8573573141327134,2.63032517031079e-16,0.14264268586728632,0.0
5.434782608695652,0.8596056571384101,2.484966769290493e-16,0.14039434286158967,0.001524373152806846,0.8580812839856032,2.4668712364495715e-16,0.1419187160143965,0.0
5.454545454545454,0.8603180829401208,2.3310261274987456e-16,0.13968191705987898,0.0015138079961524165,0.8588042749439684,2.303901066043402e-16,0.1411957250560314,0.0
5.474452554744525,0.861029445328844,2.1797913536197107e-16,0.13897055467115582,0.0015032057552136768,0.8595262395736303,2.142508593606385e-16,0.1404737604263695,0.0
5.4945054945054945,0.8617397596918369,2.031597460810169e-16,0.1382602403081629,0.0014926361804342703,0.8602471235114026,1.9838309685290646e-16,0.13975287648859716,0.0
5.514705882352941,0.8624490263211516,1.8867671557158708e-16,0.1375509736788482,0.0014821596737081277,0.8609668666474435,1.8289500912264836e-16,0.13903313335255632,0.0
5.535055350553505,0.8631572314703312,1.7456103960104583e-16,0.13684276852966865,0.001471827212528698,0.8616854042578025,1.6788233991995135e-16,0.13831459574219734,0.0
5.555555555555555,0.863864348560634,1.6084239874990968e-16,0.13613565143936585,0.001461680488370476,0.8624026680722635,1.5342430478156562e-16,0.13759733192773632,0.0
5.5762081784386615,0.8645703394885492,1.4754912069034636e-16,0.13542966051145064,0.0014517522244134051,0.8631185872641358,1.3958198815973227e-16,0.13688141273586404,0.0
5.597014925373134,0.8652751559937388,1.3470814395539817e-16,0.13472484400626103,0.0014420666399734827,0.8638330893537653,1.2639870163685964e-16,0.1361669106462345,0.0
5.617977528089888,0.8659787410516944,1.223449824239301e-16,0.13402125894830552,0.0014326400322304256,0.8645461010194639,1.1390172692401183e-16,0.13545389898053595,0.0
5.639097744360902,0.8666810302591584,1.1048369003526076e-16,0.13331896974084145,0.0014234814457194656,0.865257548813439,1.0210488579906309e-16,0.13474245118656092,0.0
5.660377358490566,0.8673819531870092,9.914682551560209e-17,0.13261804681299072,0.0014145934051031928,0.865967359781906,9.101145091020928e-17,0.13403264021809394,0.0
5.6818181818181825,0.8680814346784066,8.835541713375157e-17,0.13191856532159332,0.0014059726869813938,0.8666754619914252,8.061701435790562e-17,0.13332453800857472,0.0
5.703422053231939,0.8687793960753717,7.812892770667527e-17,0.13122060392462823,0.00139761111103065,0.867381784964341,7.091204609162696e-17,0.13261821503565888,0.0
5.7251908396946565,0.8694757563601365,6.848522023400333e-17,0.13052424363986342,0.0013894963318382691,0.8680862600282983,6.18839862898281e-17,0.1319137399717017,0.0
5.74712643678161,0.8701704332016791,5.944052466918493e-17,0.12982956679832086,0.0013816126159154063,0.8687888205857637,5.351881420658421e-17,0.13121117941423627,0.0
