wavelength_um,reflectance,transmittance,absorptance,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,fresnel_reflectance,fresnel_absorptance,energy_error
5.0,0.8419572480352392,-6.002055513926049e-16,0.15804275196476142,-0.0004093107724551199,0.00034462217156749073,2.4567059787235827e-19,6.002055513926049e-16,-6.002055513926049e-16,0.8392399740827409,0.16076002591725913,0.0
5.016722408026756,0.8427197057726704,-5.896335303454533e-16,0.15728029422733017,-0.0004948080025308068,0.0004169844543067243,2.917553893754216e-19,5.896335303454533e-16,-5.896335303454533e-16,0.8399851866871775,0.16001481331282252,0.0
5.033557046979866,0.8434802087897091,-5.784808332921583e-16,0.1565197912102915,-0.0005969708401854071,0.0005035330889209553,3.4533618908157416e-19,5.784808332921583e-16,-5.784808332921583e-16,0.8407303760013176,0.15926962399868239,0.0
5.05050505050505,0.8442385754498183,-5.667694057390596e-16,0.15576142455018227,-0.0007187909970357872,0.0006068310873836476,4.073887462405593e-19,5.667694057390596e-16,-5.667694057390596e-16,0.841475490973982,0.158524509026018,0.0
5.0675675675675675,0.8449946145319459,-5.545227861246341e-16,0.15500538546805465,-0.0008637448250176557,0.0007298597254697571,4.78966186869525e-19,5.545227861246341e-16,-5.545227861246341e-16,0.842220480291463,0.15777951970853699,0.0
5.084745762711865,0.8457481518608793,-5.417663972992515e-16,0.1542518481391213,-0.0010358617003069796,0.000876078118618096,5.611950614755893e-19,5.417663972992515e-16,-5.417663972992515e-16,0.8429652923932965,0.15703470760670346,0.0
5.1020408163265305,0.8464990465906015,-5.285277110285737e-16,0.15350095340939904,-0.0012398002097817895,0.0010494896955431125,6.552687670087147e-19,5.285277110285737e-16,-5.285277110285737e-16,0.8437098754882891,0.15629012451171087,0.0
5.1194539249146755,0.8472471998323945,-5.148363024152143e-16,0.15275280016760603,-0.001480932709690296,0.0012547160914253036,7.62437920382696e-19,5.148363024152143e-16,-5.148363024152143e-16,0.8444541775708063,0.15554582242919368,0.0
5.136986301369864,0.8479925577346977,-5.007238119145578e-16,0.15200744226530277,-0.0017654388117856897,0.0014970789735302527,8.839972515392381e-19,5.007238119145578e-16,-5.007238119145578e-16,0.8451981464372956,0.15480185356270437,0.0
5.154639175257731,0.8487351106506422,-4.8622383255648465e-16,0.15126488934935828,-0.0021004083252028657,0.0017826902923025844,1.0212685858136845e-18,4.8622383255648465e-16,-4.8622383255648465e-16,0.8459417297030465,0.15405827029695351,0.0
5.172413793103448,0.8494748896589162,-4.713717393298472e-16,0.15052511034108432,-0.0024939541408317686,0.0021185514185974638,1.1755795011727453e-18,4.713717393298472e-16,-4.713717393298472e-16,0.8466848748191712,0.1533151251808288,0.0
5.190311418685121,0.8502119614107905,-4.562044764795454e-16,0.14978803858920997,-0.0029553354868546424,0.002512661580905599,1.3482372786019446e-18,4.562044764795454e-16,-4.562044764795454e-16,0.8474275290897929,0.1525724709102071,0.0
5.208333333333333,0.8509464220397652,-4.407603169646944e-16,0.14905357796023522,-0.0034950919074202193,0.002974135953319374,1.5404978169352742e-18,4.407603169646944e-16,-4.407603169646944e-16,0.8481696396894387,0.1518303603105613,0.0
5.2264808362369335,0.8516783906857152,-4.2507860651822745e-16,0.14832160931428526,-0.004125188219057694,0.003513333663682728,1.753529259782453e-18,4.2507860651822745e-16,-4.2507860651822745e-16,0.8489111536806164,0.15108884631938357,0.0
5.244755244755245,0.8524080030347573,-4.0919950285326534e-16,0.14759199696524314,-0.00485917057942331,0.004141995890011468,1.9883701853792318e-18,4.0919950285326534e-16,-4.0919950285326534e-16,0.8496520180315682,0.1503479819684318,0.0
5.2631578947368425,0.8531354051629372,-3.931637186346416e-16,0.1468645948370632,-0.005712333658433808,0.00487339409011381,2.2458823432316628e-18,3.931637186346416e-16,-3.931637186346416e-16,0.8503921796341898,0.14960782036581022,0.0
5.28169014084507,0.8538607478762005,-3.7701227495490065e-16,0.1461392521237999,-0.006701898731106342,0.00572248826273302,2.526698087131764e-18,3.7701227495490065e-16,-3.7701227495490065e-16,0.8511315853220978,0.14886841467790224,0.0
5.30035335689046,0.8545841816709203,-3.607862702733078e-16,0.14541581832908004,-0.007847202313050906,0.006706094967104761,2.8311628546057102e-18,3.607862702733078e-16,-3.607862702733078e-16,0.851870181888841,0.148129818111159,0.0
5.319148936170213,0.8553058523804636,-3.4452666818330585e-16,0.1446941476195367,-0.009169894732491642,0.007843064630412887,3.159273279776992e-18,3.4452666818330585e-16,-3.4452666818330585e-16,0.8526079161062332,0.1473920838937668,0.0
5.338078291814946,0.8560258975335235,-3.2827410594192103e-16,0.1439741024664768,-0.010694147776239078,0.009154467448511191,3.510611800055666e-18,3.2827410594192103e-16,-3.2827410594192103e-16,0.8533447347428011,0.14665526525719885,0.0
5.357142857142858,0.8567444434174765,-3.1206872449564695e-16,0.14325555658252384,-0.012446870261077877,0.010663786934116706,3.884278926337373e-18,3.1206872449564695e-16,-3.1206872449564695e-16,0.8540805845823336,0.1459194154176664,0.0
5.376344086021505,0.8574616028176,-2.959500197381934e-16,0.14253839718240033,-0.014457930067040057,0.012397119888708938,4.2788246887139245e-18,2.959500197381934e-16,-2.959500197381934e-16,0.854815412442514,0.14518458755748598,0.0
5.395683453237409,0.858177473385945,-2.7995671395007176e-16,0.1418225266140553,-0.016760380826187624,0.01438338127040393,4.692181140651276e-18,2.7995671395007176e-16,-2.7995671395007176e-16,0.8555491651936298,0.14445083480637022,0.0
5.415162454873646,0.8588921365842005,-2.641266458065236e-16,0.14110786341579978,-0.01939069109180087,0.016654512101681073,5.121598197947801e-18,2.641266458065236e-16,-2.641266458065236e-16,0.8562817897773372,0.14371821022266285,0.0
5.434782608695652,0.8596056571384101,-2.484966769290493e-16,0.14039434286159017,-0.02238897342113276,0.019245688210327225,5.563585495004299e-18,2.484966769290493e-16,-2.484966769290493e-16,0.8570132332254762,0.14298676677452382,0.0
5.454545454545454,0.8603180829401208,-2.3310261274987456e-16,0.13968191705987942,-0.025799210393998732,0.022195527227533828,6.013863349724825e-18,2.3310261274987456e-16,-2.3310261274987456e-16,0.8577434426789124,0.14225655732108755,0.0
5.474452554744525,0.861029445328844,-2.1797913536197107e-16,0.13897055467115627,-0.029669474164252686,0.025546290882844956,6.46732632496814e-18,2.1797913536197107e-16,-2.1797913536197107e-16,0.8584723654064004,0.14152763459359963,0.0
5.4945054945054945,0.8617397596918369,-2.031597460810169e-16,0.13826024030816328,-0.034052135707680835,0.0293440792417307,6.918023243888767e-18,2.031597460810169e-16,-2.031597460810169e-16,0.859199948823449,0.14080005117655103,0.0
5.514705882352941,0.8624490263211516,-1.8867671557158708e-16,0.13755097367884858,-0.03900405949502015,0.033639013134052397,7.359157839479177e-18,1.8867671557158708e-16,-1.8867671557158708e-16,0.859926140511177,0.140073859488823,0.0
5.535055350553505,0.8631572314703312,-1.7456103960104583e-16,0.13684276852966898,-0.04458677889100254,0.03848540062773756,7.783114475675369e-18,1.7456103960104583e-16,-1.7456103960104583e-16,0.8606508882351425,0.13934911176485754,0.0
