period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,wavelength_um,reflectance,transmittance,absorptance,emissivity_proxy
10.0,4.0,4.0,3.0,0.0,5.0,0.8103102070422132,-1.757053763152295e-05,0.18970736349541828,0.18970736349541828
10.0,4.0,4.0,3.0,0.0,5.027932960893855,0.8214194048884322,-1.2945574110715288e-05,0.17859354068567848,0.17859354068567848
10.0,4.0,4.0,3.0,0.0,5.056179775280899,0.8265171401575705,-9.59460218452663e-06,0.17349245444461403,0.17349245444461403
10.0,4.0,4.0,3.0,0.0,5.084745762711864,0.8255882550627098,-7.152759659334497e-06,0.17441889769694952,0.17441889769694952
10.0,4.0,4.0,3.0,0.0,5.113636363636363,0.8201020450150946,-5.363153767479017e-06,0.17990331813867283,0.17990331813867283
10.0,4.0,4.0,3.0,0.0,5.142857142857142,0.8123393497261455,-4.043948286546398e-06,0.18766469422214102,0.18766469422214102
10.0,4.0,4.0,3.0,0.0,5.1724137931034475,0.8046818593968603,-3.0657900002123847e-06,0.19532120639313988,0.19532120639313988
10.0,4.0,4.0,3.0,0.0,5.202312138728323,0.7990331870551061,-2.3362329176090845e-06,0.20096914917781156,0.20096914917781156
10.0,4.0,4.0,3.0,0.0,5.232558139534883,0.796471833798608,-1.7889199273447919e-06,0.20352995512131936,0.20352995512131936
10.0,4.0,4.0,3.0,0.0,5.2631578947368425,0.7971622813562411,-1.3760172101044993e-06,0.20283909466096897,0.20283909466096897
10.0,4.0,4.0,3.0,0.0,5.294117647058823,0.80048860008432,-1.0628885219970264e-06,0.199512462804202,0.199512462804202
10.0,4.0,4.0,3.0,0.0,5.325443786982248,0.805335017152162,-8.243250608746226e-07,0.19466580717289883,0.19466580717289883
10.0,4.0,4.0,3.0,0.0,5.357142857142857,0.8104228333206498,-6.418658954351712e-07,0.18957780854524564,0.18957780854524564
10.0,4.0,4.0,3.0,0.0,5.389221556886228,0.8146201840841802,-5.018900753900722e-07,0.18538031780589515,0.18538031780589515
10.0,4.0,4.0,3.0,0.0,5.421686746987951,0.8171639346947708,-3.9425900062747323e-07,0.18283645956422986,0.18283645956422986
10.0,4.0,4.0,3.0,0.0,5.454545454545454,0.8177634153019799,-3.1135293187623926e-07,0.18223689605095195,0.18223689605095195
10.0,4.0,4.0,3.0,0.0,5.48780487804878,0.8165860188756633,-2.4738978708469484e-07,0.18341422851412378,0.18341422851412378
10.0,4.0,4.0,3.0,0.0,5.521472392638037,0.814148911181683,-1.979449726499401e-07,0.18585128676328969,0.18585128676328969
10.0,4.0,4.0,3.0,0.0,5.555555555555555,0.811155723355352,-1.5961276254603952e-07,0.18884443625741051,0.18884443625741051
10.0,4.0,4.0,3.0,0.0,5.590062111801242,0.8083211848242835,-1.2976571811844613e-07,0.19167894494143461,0.19167894494143461
10.0,4.0,4.0,3.0,0.0,5.625,0.8062214794450532,-1.063807143489102e-07,0.19377862693566117,0.19377862693566117
10.0,4.0,4.0,3.0,0.0,5.660377358490566,0.8051964427922431,-8.790941979541626e-08,0.19480364511717668,0.19480364511717668
10.0,4.0,4.0,3.0,0.0,5.696202531645569,0.8053150152319569,-7.317821694798546e-08,0.19468505794626004,0.19468505794626004
10.0,4.0,4.0,3.0,0.0,5.732484076433121,0.8064009850672795,-6.13079378283358e-08,0.1935990762406583,0.1935990762406583
10.0,4.0,4.0,3.0,0.0,5.769230769230769,0.808104673714686,-5.164769262271481e-08,0.19189537793300665,0.19189537793300665
10.0,4.0,4.0,3.0,0.0,5.806451612903226,0.8099994643408399,-4.371971009254848e-08,0.1900005793788702,0.1900005793788702
10.0,4.0,4.0,3.0,0.0,5.8441558441558445,0.8116804472438487,-3.717370782955855e-08,0.18831958992985914,0.18831958992985914
10.0,4.0,4.0,3.0,0.0,5.88235294117647,0.8128454152807053,-3.175009794804876e-08,0.18715461646939263,0.18715461646939263
10.0,4.0,4.0,3.0,0.0,5.921052631578947,0.8133447076333888,-2.72515433631532e-08,0.1866553196181545,0.1866553196181545
10.0,4.0,4.0,3.0,0.0,5.960264900662252,0.813194294736765,-2.3522234816464093e-08,0.18680572878546986,0.18680572878546986
10.0,4.0,4.0,3.0,0.0,5.999999999999999,0.8125543159776989,-2.0433955811011788e-08,0.1874457044562569,0.1874457044562569
10.0,4.0,4.0,3.0,0.0,6.040268456375839,0.8116815956576047,-1.787769741973063e-08,0.18831842222009276,0.18831842222009276
10.0,4.0,4.0,3.0,0.0,6.081081081081081,0.8108685266688787,-1.5759384287353256e-08,0.18913148909050564,0.18913148909050564
10.0,4.0,4.0,3.0,0.0,6.122448979591836,0.8103817562631047,-1.3998232968491639e-08,0.18961825773512825,0.18961825773512825
10.0,4.0,4.0,3.0,0.0,6.164383561643836,0.8104125203146707,-1.2526393571825041e-08,0.18958749221172286,0.18958749221172286
10.0,4.0,4.0,3.0,0.0,6.206896551724138,0.8110468810605491,-1.1288798072191326e-08,0.18895313022824894,0.18895313022824894
10.0,4.0,4.0,3.0,0.0,6.25,0.8122594306110169,-1.0242501646527213e-08,0.18774057963148474,0.18774057963148474
10.0,4.0,4.0,3.0,0.0,6.293706293706294,0.8139292109599436,-9.355193959505877e-09,0.18607079839525031,0.18607079839525031
10.0,4.0,4.0,3.0,0.0,6.338028169014084,0.8158725536186847,-8.602913938874476e-09,0.18412745498422922,0.18412745498422922
10.0,4.0,4.0,3.0,0.0,6.382978723404255,0.817884902247905,-7.967274352743626e-09,0.18211510571936934,0.18211510571936934
10.0,4.0,4.0,3.0,0.0,6.428571428571429,0.8197827729249698,-7.432659952116047e-09,0.18021723450769014,0.18021723450769014
10.0,4.0,4.0,3.0,0.0,6.474820143884893,0.8214378130460145,-6.983894973967949e-09,0.17856219393788048,0.17856219393788048
10.0,4.0,4.0,3.0,0.0,6.521739130434783,0.8227971265306796,-6.604793034534079e-09,0.17720288007411344,0.17720288007411344
10.0,4.0,4.0,3.0,0.0,6.56934306569343,0.823887111613767,-6.277832518864919e-09,0.1761128946640655,0.1761128946640655
10.0,4.0,4.0,3.0,0.0,6.617647058823529,0.8248013776672941,-5.98498232436323e-09,0.1751986283176882,0.1751986283176882
10.0,4.0,4.0,3.0,0.0,6.666666666666667,0.8256762537737558,-5.709479391192137e-09,0.17432375193572364,0.17432375193572364
10.0,4.0,4.0,3.0,0.0,6.716417910447761,0.8266594768968715,-5.438171460315693e-09,0.1733405285413,0.1733405285413
10.0,4.0,4.0,3.0,0.0,6.7669172932330826,0.8278785465482579,-5.1639181281528096e-09,0.17212145861566025,0.17212145861566025
10.0,4.0,4.0,3.0,0.0,6.818181818181818,0.8294148793241342,-4.8875100897555044e-09,0.17058512556337593,0.17058512556337593
10.0,4.0,4.0,3.0,0.0,6.870229007633588,0.8312884380041877,-4.618625364947022e-09,0.16871156661443765,0.16871156661443765
10.0,4.0,4.0,3.0,0.0,6.923076923076923,0.8334552764344072,-4.375482628572756e-09,0.16654472794107542,0.16654472794107542
10.0,4.0,4.0,3.0,0.0,6.976744186046512,0.835817878326455,-4.183053508421881e-09,0.16418212585659847,0.16418212585659847
10.0,4.0,4.0,3.0,0.0,7.03125,0.8382457528628744,-4.069927299077329e-09,0.16175425120705292,0.16175425120705292
10.0,4.0,4.0,3.0,0.0,7.086614173228347,0.8406019095427398,-4.0641486073828064e-09,0.15939809452140877,0.15939809452140877
10.0,4.0,4.0,3.0,0.0,7.142857142857142,0.842769875567961,-4.188537921028839e-09,0.15723012862057692,0.15723012862057692
10.0,4.0,4.0,3.0,0.0,7.199999999999999,0.8446759807851849,-4.456129856959383e-09,0.15532402367094494,0.15532402367094494
10.0,4.0,4.0,3.0,0.0,7.258064516129032,0.8463026733074522,-4.8664064014720945e-09,0.15369733155895415,0.15369733155895415
10.0,4.0,4.0,3.0,0.0,7.317073170731708,0.8476904290065522,-5.402957129043542e-09,0.1523095763964049,0.1523095763964049
10.0,4.0,4.0,3.0,0.0,7.3770491803278695,0.8489280372694329,-6.033071854269867e-09,0.15107196876363896,0.15107196876363896
