wavelength_um,reflectance_groove,transmittance_groove,absorptance_groove,emissivity_proxy_groove,raw_transmittance_groove,signed_transmittance_groove,reflectance_flat,transmittance_flat,absorptance_flat,emissivity_proxy_flat,raw_transmittance_flat,signed_transmittance_flat,delta_R,delta_A,energy_error_groove
5.0,0.8103102070422132,-1.757053763152295e-05,0.18970736349541828,0.18970736349541828,1.757053763152295e-05,-1.757053763152295e-05,0.8419574604555389,-6.00250574444474e-16,0.15804253954446174,0.15804253954446174,6.00250574444474e-16,-6.00250574444474e-16,-0.03164725341332564,0.031664823950956544,0.0
5.027932960893855,0.8214194048884322,-1.2945574110715288e-05,0.17859354068567848,0.17859354068567848,1.2945574110715288e-05,-1.2945574110715288e-05,0.8432271616203865,-5.826070543061699e-16,0.15677283837961412,0.15677283837961412,5.826070543061699e-16,-5.826070543061699e-16,-0.02180775673195423,0.021820702306064366,0.0
5.056179775280899,0.8265171401575705,-9.59460218452663e-06,0.17349245444461403,0.17349245444461403,9.59460218452663e-06,-9.59460218452663e-06,0.8444910939218023,-5.632692505318027e-16,0.15550890607819823,0.15550890607819823,5.632692505318027e-16,-5.632692505318027e-16,-0.01797395376423183,0.017983548366415802,0.0
5.084745762711864,0.8255882550627098,-7.152759659334497e-06,0.17441889769694952,0.17441889769694952,7.152759659334497e-06,-7.152759659334497e-06,0.8457483993287161,-5.423855789439779e-16,0.1542516006712844,0.1542516006712844,5.423855789439779e-16,-5.423855789439779e-16,-0.02016014426600632,0.02016729702566511,0.0
5.113636363636363,0.8201020450150946,-5.363153767479017e-06,0.17990331813867283,0.17990331813867283,5.363153767479017e-06,-5.363153767479017e-06,0.8469983794893904,-5.201139799489536e-16,0.15300162051061014,0.15300162051061014,5.201139799489536e-16,-5.201139799489536e-16,-0.026896334474295736,0.026901697628062687,0.0
5.142857142857142,0.8123393497261455,-4.043948286546398e-06,0.18766469422214102,0.18766469422214102,4.043948286546398e-06,-4.043948286546398e-06,0.8482406470996353,-4.966205656591598e-16,0.15175935290036519,0.15175935290036519,4.966205656591598e-16,-4.966205656591598e-16,-0.03590129737348979,0.035905341321775835,0.0
5.1724137931034475,0.8046818593968603,-3.0657900002123847e-06,0.19532120639313988,0.19532120639313988,3.0657900002123847e-06,-3.0657900002123847e-06,0.8494751538478759,-4.720781882228452e-16,0.1505248461521246,0.1505248461521246,4.720781882228452e-16,-4.720781882228452e-16,-0.04479329445101554,0.04479636024101527,0.0
5.202312138728323,0.7990331870551061,-2.3362329176090845e-06,0.20096914917781156,0.20096914917781156,2.3362329176090845e-06,-2.3362329176090845e-06,0.8507021503268051,-4.466649762531588e-16,0.14929784967319537,0.14929784967319537,4.466649762531588e-16,-4.466649762531588e-16,-0.05166896327169901,0.051671299504616186,0.0
5.232558139534883,0.796471833798608,-1.7889199273447919e-06,0.20352995512131936,0.20352995512131936,1.7889199273447919e-06,-1.7889199273447919e-06,0.8519221137499998,-4.2056286826833006e-16,0.1480778862500006,0.1480778862500006,4.2056286826833006e-16,-4.2056286826833006e-16,-0.055450279951391845,0.05545206887131876,0.0
5.2631578947368425,0.7971622813562411,-1.3760172101044993e-06,0.20283909466096897,0.20283909466096897,1.3760172101044993e-06,-1.3760172101044993e-06,0.853135665970881,-3.9395616050666544e-16,0.14686433402911941,0.14686433402911941,3.9395616050666544e-16,-3.9395616050666544e-16,-0.055973384614639854,0.05597476063184956,0.0
